expert_newsroom_id,expert_name,expert_url,total_project_count,total_project_count_us,expertises
ABC1234,Buro Happold,https://www.archdaily.com/professional/buro-happold,81,25,"Structural,Structural Engineers,Sustainability,MEP,Structural Engineer,Structural Engineering,Lighting Consultant,Façade,Consultants,Engineer,Facade Engineering,Engineering"
ABC1234,Floor Associates,https://www.archdaily.com/professional/floor-associates,2,2,"Landscape Architect,Landscape"
ABC1234,Sherwood Design Engineers,https://www.archdaily.com/professional/sherwood-design-engineers,3,3,"Environmental Engineering,Civil,Consultants"
ABC1234,Arup,https://www.archdaily.com/professional/arup,235,49,"Consultants,Engineering,Electrical Engineering,Hydraulic Engineering,Structural Engineering,Lighting Consultant,Environmental Engineers,MEP Engineer,Structural Engineer,Electrical Engineer,Structural Consultant,Geotechnical Engineering,Acoustic Consultant,Mechanical Engineer,Lighting Designer,Structural Design,Lighting Design,Facade Consultant,Acoustician,Lighting,Engineer,Acoustics,M & E Consultant,MEP,Structural Engineers,Acoustical Consultant,structural Engineer,Mechanical Engineering"
ABC1234,Front,https://www.archdaily.com/professional/front,7,7,"Consultants,Facade Engineering,Façade Consultant,Engineering"
ABC1234,Kean Development,https://www.archdaily.com/professional/kean-development,1,1,Consultants
ABC1234,Magnusson Klemencic Associates,https://www.archdaily.com/professional/magnusson-klemencic-associates,22,21,"Consultants,Structural Engineer of Record,Structural,Structural Engineer,Structural Engineering,Civil,Engineering,Civil Engineer,Engineers,Consultant"
ABC1234,!melk,https://www.archdaily.com/professional/melk,1,1,Consultants
ABC1234,Tillotson Design Associates,https://www.archdaily.com/professional/tillotson-design-associates,27,23,"Consultants,Lighting,Lighting Consultants,Lighting Designer,Lighting Consultant,Lighting Design,Lighting Designers,Lightning Design"
ABC1234,Barry Isett & Associates,https://www.archdaily.com/professional/barry-isett-associates,3,3,Structural Engineer
ABC1234,Lehigh Valley Engineering,https://www.archdaily.com/professional/lehigh-valley-engineering,2,2,"Electrical Engineer,MEP Engineer"
ABC1234,McTish,https://www.archdaily.com/professional/mctish,1,1,Civil Engineer
ABC1234,Kunkle,https://www.archdaily.com/professional/kunkle,1,1,Civil Engineer
ABC1234,& Associates,https://www.archdaily.com/professional/associates,1,1,Civil Engineer
ABC1234,Whiting-Turner,https://www.archdaily.com/professional/whiting-turner,10,10,"Construction Manager,Cost Consultant,General Contractor,Contractor,Contractors"
ABC1234,Dewson Construction Company,https://www.archdaily.com/professional/dewson-construction-company,1,1,General Contractor
ABC1234,Long,https://www.archdaily.com/professional/long,2,2,"Structural Engineer,Engineer"
ABC1234,Tang,https://www.archdaily.com/professional/tang,1,1,Structural Engineer
ABC1234,& D’Onofrio Structural Engineers,https://www.archdaily.com/professional/d-onofrio-structural-engineers,1,1,Structural Engineer
ABC1234,Skidmore,https://www.archdaily.com/professional/skidmore,10,10,"Structural Engineer,Structural Engineering,Interior Design Team,Civil Engineer,Sustainability"
ABC1234,Owings,https://www.archdaily.com/professional/owings,1,1,Structural Engineer
ABC1234,& Merrill,https://www.archdaily.com/professional/merrill,1,1,Structural Engineer
ABC1234,Brown Sardinia Inc.,https://www.archdaily.com/professional/brown-sardinia-inc,1,1,Landscape Architect
ABC1234,Le Messurier Consultants,https://www.archdaily.com/professional/le-messurier-consultants,1,1,Structural Engineer
ABC1234,Ove Arup & Partners,https://www.archdaily.com/professional/ove-arup-partners,32,10,"MEP Engineer,Lighting,Acoustics,Mechanical Engineer,Consultants,Structure,Services"
ABC1234,Sherman & Woods,https://www.archdaily.com/professional/sherman-woods,1,1,Surveyor
ABC1234,Tighe & Bond Inc.,https://www.archdaily.com/professional/tighe-bond-inc,1,1,Civil Engineer
ABC1234,Quennell Rothschild & Partners,https://www.archdaily.com/professional/quennell-rothschild-partners,5,5,"Landscape Architect,Structural Engineering,Landscape Architecture"
ABC1234,SBLD Studio,https://www.archdaily.com/professional/sbld-studio,4,4,"Lighting,Lighting Designer,Lighting Consultant"
ABC1234,Lebowitz Gould Design,https://www.archdaily.com/professional/lebowitz-gould-design,2,2,"Graphics,Graphic Designer"
ABC1234,Leslie E. Robertson Associates,https://www.archdaily.com/professional/leslie-e-robertson-associates,8,7,"Structural Engineering,Structural Engineer,Structural"
ABC1234,Acentech,https://www.archdaily.com/professional/acentech,13,13,"Acoustics,Acoustical Consultant,Acoustician,Acoustic Consultant,Acoustic Engineer,AV"
ABC1234,Mikyoung Kim Design,https://www.archdaily.com/professional/mikyoung-kim-design,5,4,Landscape Architect
ABC1234,Nitsch Engineering,https://www.archdaily.com/professional/nitsch-engineering,8,8,"Civil Engineer,Civil Engineers,Civil Engineering"
ABC1234,(FKA) Amman & Whitney,https://www.archdaily.com/professional/fka-amman-whitney,1,1,Structural Engineer
ABC1234,Auerbach Glasow,https://www.archdaily.com/professional/auerbach-glasow,7,6,"Architectural Lighting,Lighting Design,Lighting Designer,Lighting"
ABC1234,Bond Brothers,https://www.archdaily.com/professional/bond-brothers,1,1,Construction
ABC1234,Haley & Aldrich,https://www.archdaily.com/professional/haley-aldrich,8,8,"Geotechnical Engineer,Geotechnical Engineering,Geotechnical"
ABC1234,Stantec,https://www.archdaily.com/professional/stantec,38,21,"Project Manager,MEP Engineer,Engineering,Fire Protection,Wayfinding,Civil Engineer,MEP,Civil Engineering,Landscape Architects,Structural Engineer,Electrical Engineers,Electrical Engineering,Electrical Engineer,Mechanical Engineering,Civil,Mechanical Engineer"
ABC1234,Peters Construction,https://www.archdaily.com/professional/peters-construction,1,1,General Contractor
ABC1234,MCLA,https://www.archdaily.com/professional/mcla,3,3,Lighting Consultant
ABC1234,Tadjer Cohen Edelson,https://www.archdaily.com/professional/tadjer-cohen-edelson,8,8,"Structural Engineer,Engineer,Structural,Structural Engineering"
ABC1234,HITT Contracting,https://www.archdaily.com/professional/hitt-contracting,2,2,"Contractor,General Contractor"
ABC1234,Hunter Roberts Construction Group,https://www.archdaily.com/professional/hunter-roberts-construction-group,3,3,"General Contractor,Contractor"
ABC1234,Robert Silman Associates,https://www.archdaily.com/professional/robert-silman-associates,71,69,"Structural Engineer,Consultant Team,Structural Engineers,Engineer,Structural,Structural Engineering,Structure,Structural Consultant,Consultants"
ABC1234,ESC Consulting Engineers,https://www.archdaily.com/professional/esc-consulting-engineers,1,1,MEP Engineer
ABC1234,Tishman,https://www.archdaily.com/professional/tishman,3,3,"Contractors,Construction Manager"
ABC1234,AECOM,https://www.archdaily.com/professional/aecom,81,6,"Contractors,Landscape Designers,Fire Engineers,Geotechnical,Consultants,Engineers"
ABC1234,A Ottavino Corp,https://www.archdaily.com/professional/a-ottavino-corp,1,1,Stone Mason
ABC1234,Steven Dubner Landscaping Inc,https://www.archdaily.com/professional/steven-dubner-landscaping-inc,1,1,Landscape Installer
ABC1234,Schuchart/Dow Construction,https://www.archdaily.com/professional/schuchart-dow-construction,1,1,Contractor
ABC1234,MCE Structural Consultants,https://www.archdaily.com/professional/mce-structural-consultants,8,8,"Consultants,Engineering,Structural Engineer,Structural Engineering Consultants"
ABC1234,CPL,https://www.archdaily.com/professional/cpl,3,3,"Consultants,Civil Engineer,Structural Engineering"
ABC1234,Associated Earth Sciences,https://www.archdaily.com/professional/associated-earth-sciences,5,5,"Consultants,Geotechnical,Geotechnical Engineer"
ABC1234,Ambrose Construction,https://www.archdaily.com/professional/ambrose-construction,2,2,Contractor
ABC1234,180 Degrees,https://www.archdaily.com/professional/180-degrees,4,4,"General Contractor,Contractor"
ABC1234,BDA Engineers,https://www.archdaily.com/professional/bda-engineers,4,4,"Structural Engineer,Structural Engineering"
ABC1234,Tony Woo Engineering,https://www.archdaily.com/professional/tony-woo-engineering,1,1,Electrical Engineer
ABC1234,DBLD,https://www.archdaily.com/professional/dbld,1,1,Landscape Design
ABC1234,Rudow + Berry Inc,https://www.archdaily.com/professional/rudow-berry-inc,28,28,"Structural Engineer,Structural,Engineering,Structural Engineering,Engineers"
ABC1234,Bob Atherthon,https://www.archdaily.com/professional/bob-atherthon,1,1,Civil Engineer
ABC1234,Brickey Design Associates,https://www.archdaily.com/professional/brickey-design-associates,2,2,Structural Engineer
ABC1234,Applied Engineering,https://www.archdaily.com/professional/applied-engineering,1,1,Mechanical Engineer
ABC1234,v,https://www.archdaily.com/professional/v,1,1,Electrical Engineer
ABC1234,Otterbein Engineering,https://www.archdaily.com/professional/otterbein-engineering,3,3,"Mechanical Engineer,Mechanical"
ABC1234,Struktur Studio,https://www.archdaily.com/professional/struktur-studio,4,4,"Structural Engineering,Engineering,Structural Engineer"
ABC1234,180 Degrees Inc,https://www.archdaily.com/professional/180-degrees-inc,1,1,General Contractor
ABC1234,Benjamin Hall design + build,https://www.archdaily.com/professional/benjamin-hall-design-build,1,1,Contractor
ABC1234,Surface Design,https://www.archdaily.com/professional/surface-design,1,1,Landscape Architects
ABC1234,1st Look Exteriors,https://www.archdaily.com/professional/1st-look-exteriors,1,1,Subcontractor
ABC1234,Wald Studio,https://www.archdaily.com/professional/wald-studio,5,5,"Lighting Consultant,Lighting Designer,Lighting Design"
ABC1234,Arnold Associates Landscape Architecture and Urban Design,https://www.archdaily.com/professional/arnold-associates-landscape-architecture-and-urban-design,1,1,Landscape Architect
